usuario,categoria,apertura,extroversion,amabilidad
3gerardpique,7,34.297953,41.948819,29.370315
aguerosergiokun,7,44.986842,37.938947,24.279098
albertochicote,4,41.733854,38.999896,34.645521
AlejandroSanz,2,40.377154,52.337538,31.082154
alfredocasero1,4,36.664677,48.530806,31.138871
alo_oficial,7,33.531771,43.211667,25.786667
andresiniesta8,7,31.851102,47.182362,19.594331
andykusnetzoff,5,31.865118,55.377559,36.258346
andyroddick,7,46.393488,39.93031,16.658062
andy_murray,7,39.436667,32.966288,32.291591
AngelAlessandra,3,52.750992,41.698855,17.057176
antoniobanderas,1,41.328182,39.173333,21.070505
aplusk,1,54.407727,34.104318,18.771818
AvrilLavigne,2,47.610076,39.439545,21.438409
BarackObama,8,39.435149,41.479403,21.004104
BarRefaeli,3,48.617348,43.617955,19.263258
Berto_Romero,4,40.073543,44.194724,33.921417
BillGates,6,43.37292,43.792263,21.067737
britneyspears,2,49.792403,41.435581,16.433953
Buenafuente,4,30.020465,44.29969,39.117984
CarlosAuryn,2,36.909459,51.947297,34.687568
carmenelectra,3,50.594462,41.383154,17.896538
Carrie_Br4dshaw,3,34.186667,18.693542,9.682292
CasillasWorld,7,31.215455,44.180909,32.87
celinedion,2,47.27686,41.973372,12.40186
cesarmillan,4,45.369773,35.925909,23.478258
CFKArgentina,8,35.943438,45.519531,28.02125
charliesheen,1,36.272348,40.065152,28.706894
ChristianG_7,4,44.501603,46.598931,29.535038
CindyCrawford,3,49.028308,38.450462,19.791538
Clyburn,8,34.235923,41.231615,14.153692
CourteneyCox,1,53.11048,39.00608,17.2064
Courtney,2,49.28542,42.117786,21.008931
Cristiano,7,52.895725,38.620229,19.972748
CristiPedroche,4,30.691797,59.824844,33.395938
DaniMateoAgain,5,34.949528,50.177402,36.325276
DANIROVIRA,1,41.76596,49.865253,30.071414
davidbisbal,2,30.825938,55.912578,29.489922
David_Busta,2,38.948976,44.460866,27.345827
Diane_Keaton,1,46.955854,35.376179,23.747561
DidacLee,6,45.053969,48.950992,24.374427
drexlerjorge,2,45.088504,50.765276,25.71252
edans,6,42.444615,45.780231,24.745615
EdwardNorton,1,40.046439,37.722197,30.568258
EmWatson,1,52.535221,35.290973,15.793009
enrique305,2,56.691163,31.135698,20.439651
epunset,6,48.709282,44.728513,19.387538
EvaLongoria,3,53.453713,38.522321,16.655907
eva_hache,1,31.450855,45.490983,40.583162
FALCAO,7,31.891474,53.373368,24.296316
Fergie,2,49.077731,45.670798,17.449202
FernandezAnibal,8,36.196989,42.358817,24.191613
fieritacatalano,6,38.91342,46.979524,28.669524
foofighters,2,60.225087,28.902609,14.337043
GeorgeHWBush,8,35.545054,30.295484,39.422796
gwenstefani,2,56.815859,38.419375,13.961641
GwynethPaltrow,1,49.47,30.96626,23.053053
heidiklum,3,47.811742,41.36447,20.816439
HerreraBeutler,8,35.779512,31.227724,27.689919
HilaryDuff,2,55.974031,33.09,21.330698
HillaryClinton,8,40.502021,34.040957,16.767979
hughlaurie,4,38.78828,36.947204,24.048172
IamStevenT,2,52.082462,39.402308,16.628231
IanMcKellen,1,57.427596,33.121827,12.412404
ierrejon,8,39.528547,42.353077,23.810769
iescolar,9,39.36155,40.205116,26.27124
JerrySeinfeld,1,66.665564,26.855564,15.602331
jessicaalba,1,48.587099,26.988702,9.948168
JessieJ,2,52.675729,35.32625,16.510208
JesusCalleja,4,45.813043,53.54587,30.403261
JesusEncinar,6,44.765313,43.954375,24.824609
jiminhofe,8,42.643386,33.345984,14.643386
jimlangevin,8,44.512578,37.723594,15.144922
jimmyfallon,4,51.830571,44.304667,10.049524
jk_rowling,9,42.202857,38.628681,21.68989
JLo,2,57.241308,33.237462,16.194154
JohnKerry,8,36.353298,39.223723,26.603617
jordievole,4,35.566589,48.679535,29.923023
jordiGlez,4,33.422105,56.539263,32.230842
josjaviersantos,9,31.7503,44.3443,39.1499
JPVarsky,5,33.332362,46.603622,37.348898
jtimberlake,2,41.929385,41.960077,17.815385
JudgeJudy,4,57.145227,31.194545,16.385
justdemi,1,46.137348,43.874697,15.843258
justinbieber,2,49.331231,34.458231,23.982462
KAKA,7,44.171154,43.299846,27.451538
kanyewest,2,49.322373,41.494915,14.199153
KateUpton,3,46.158281,47.806719,23.341641
katyperry,2,48.355859,35.778281,15.101563
KevinSpacey,1,47.143474,40.162316,20.52
KidRock,2,48.403333,36.152326,12.157829
kobebryant,7,40.281616,35.341515,20.805657
ladygaga,2,49.049323,32.918647,22.447594
LennyKravitz,2,47.737462,41.528077,19.694385
LeoDiCaprio,1,48.743333,42.93187,17.984797
lorenzo99,7,38.766702,42.88383,22.15266
manuginobili,7,38.471406,41.289922,39.664375
MariahCarey,2,54.911368,42.269895,11.263263
maria_patino,4,37.240989,46.254286,31.804286
martinvars,6,46.319462,38.176692,14.143846
MeganFox516,1,53.331333,33.349333,18.497333
MelanieGriffith,1,51.006406,36.351563,22.484609
MileyCyrus,1,47.646364,39.943939,23.249848
NadalMiki,4,32.683125,54.681667,35.906667
OfficialAdele,2,65.067447,25.46617,14.787447
Oprah,4,54.431756,37.019847,19.690305
pabloalboran,2,35.834375,44.595625,23.930625
Pablo_Iglesias_,8,39.546441,45.188475,25.213644
paugasol,7,41.114,41.884769,19.713231
PaulaMeliveo,5,50.898163,38.136837,19.937347
paulocoelho,9,45.669015,44.523106,20.548864
perezreverte,9,37.411719,43.379531,33.332422
pnique,8,31.541828,47.688172,28.897527
porliniers,9,41.483701,50.352283,30.561496
RafaelNadal,7,36.813721,52.722403,14.703256
RealHughJackman,1,43.81828,42.931613,17.494624
Rep_Hunter,8,39.31561,30.73935,13.23122
rihanna,2,63.995606,26.921818,9.305985
ristomejide,4,44.541328,45.529453,33.89125
sanchezcastejon,8,35.420439,41.05807,24.249737
SarahPalinUSA,8,45.162043,34.678602,22.719355
SerranoIsmael,2,38.499688,46.513828,34.344766
shakira,2,55.293566,49.822326,20.592791
SJP,1,46.21,35.002222,19.006667
springsteen,2,54.151721,32.722131,11.041475
SSantiagosegura,1,43.443893,23.982901,17.032443
stevewoz,6,40.120985,27.149545,23.975758
taylorswift13,2,53.95,42.411488,16.108347
TheEllenShow,4,48.796045,46.014478,14.642985
thelittleidiot,2,43.805615,36.315846,21.608308
TheReal_Jlh,1,51.161,44.074,17.386154
TomCruise,1,58.380294,45.653922,12.822843
tomhanks,1,40.345769,37.003923,17.285538
usainbolt,7,40.808939,43.961591,18.982424
victoriabeckham,3,57.962308,33.373538,17.684
XabiAlonso,7,35.569389,38.904885,31.624351
XaviRodriguez,4,31.960417,48.533125,40.096458
xoellopez,2,71.696129,27.57121,19.093548
ZacEfron,1,51.537405,36.465344,23.008168
_josecoronado_,1,36.258913,45.225652,39.427283
